project_id,is_geocoded,project_title,start_actual_isodate,end_actual_isodate,donors,donors_iso3,recipients,recipients_iso3,ad_sector_codes,ad_sector_names,status,transactions_start_year,transactions_end_year,total_commitments,total_disbursements
P066396,1,"System Efficiency Improvement, Equitization & Renewables Project",25/06/2002,31/12/2012,World Bank,DAC,Vietnam,VNM,151|230,"Government and civil society, general|Energy generation and supply",Completion,2002,2012,276645743.4,335942190.8
P037095,0,Maluku Regional Development Project,31/03/1998,31/12/2000,World Bank,DAC,Indonesia,IDN,151|311|310|240|210,"Agriculture, forestry, fishing|Banking and financial services|Agriculture|Transport and storage|Government and civil society, general",Completion,1998,2000,21608448.89,1124864.077
P124615,1,Mozambique Public Financial Management for Results Program,24/06/2014,31/03/2018,World Bank,DAC,Mozambique,MOZ,151|121|111,"Education, level unspecified|Government and civil society, general|Health, general",Implementation,2014,2018,50000000,
P075060,1,India: Reproductive & Child Health Second Phase,22/08/2006,31/03/2012,World Bank,DAC,India,IND,120|151|160,"Other social infrastructure and services|Health|Government and civil society, general",Completion,2006,2012,395317182.5,319446484.4
P003978,1,Industrial Technology Development Project,21/12/1995,31/12/2001,World Bank,DAC,Indonesia,IDN,151|220,"Communications|Government and civil society, general",Completion,1995,2001,65344072.06,45376240.88
P101981,1,CG-TRANSPARENCY & GOVERN. SUPPL,08/05/2007,,World Bank,DAC,"Congo, Republic of",COG,151|322,"Mineral resources and mining|Government and civil society, general",Completion,2007,2007,16007103.23,
P146630,1,Transport Sector Support Project - Additional Financing,26/03/2014,,World Bank,DAC,Kenya,KEN,210,Transport and storage,Implementation,2014,2014,203500000,
P085593,1,MX (APL I) Tertiary Educ Student Ass,13/12/2005,31/12/2011,World Bank,DAC,Mexico,MEX,151|114|113,"Post-secondary education|Government and civil society, general|Secondary education",Completion,2005,2011,204045499,189464298.6
P082239,1,Hydrometerological System Modernization Project,17/03/2005,31/05/2013,World Bank,DAC,Russian Federation,RUS,151,"Government and civil society, general",Completion,2005,2013,90686888.45,89648843.72
P146413,1,South Sudan Health Rapid Results AF,13/03/2014,,World Bank,DAC,South Sudan,SSD,120|151,"Health|Government and civil society, general",Implementation,2014,2014,35000000,
P004001,1,Indonesia - Telecommunications Sector Modernization,15/06/1995,30/06/2002,World Bank,DAC,Indonesia,IDN,151|220,"Communications|Government and civil society, general",Completion,1995,2002,451847306.8,298918092.6
P100635,1,OECS E-Government for Regional Integration Program (APL),27/05/2008,28/02/2014,World Bank,DAC,Guatemala,GTM,151,"Government and civil society, general",Completion,2008,2014,7516697.796,2098885.083
P008604,1,Power Transmission Project,28/11/1995,30/06/2004,World Bank,DAC,Poland,POL,230,Energy generation and supply,Completion,1995,2004,222447904.9,150907056.4
P005521,1,MA-WATER RESOURCES MGMT.,26/02/1998,31/12/2004,World Bank,DAC,Morocco,MAR,151|311|410|140,"Water supply and sanitation|Agriculture|General environmental protection|Government and civil society, general",Completion,1998,2004,26513434.22,19164025.85
P070718,1,Regional Trade Facilitation Project - Kenya,03/04/2001,30/06/2013,World Bank,DAC,Kenya,KEN,240,Banking and financial services,Completion,2001,2013,31236110.86,35366523.63
P130339,1,India Second Kerala State Transport Project,14/05/2013,30/04/2019,World Bank,DAC,India,IND,210,Transport and storage,Implementation,2013,2019,223109389.6,
P001746,1,Vocational Education and Training Consolidation Project,14/03/1996,31/12/2002,World Bank,DAC,Mali,MLI,151|114|113,"Post-secondary education|Government and civil society, general|Secondary education",Completion,1996,2002,18281850.66,15942779.17
P052208,1,Transport Sector Reform and Rehabilitation Project,01/06/2000,31/07/2005,World Bank,DAC,Madagascar,MDG,151|321|210,"Industry|Government and civil society, general|Transport and storage",Completion,2000,2005,83049089.31,85292210.67
P127338,0,Climate Resilient Infrastructure,27/08/2014,31/08/2019,World Bank,DAC,Belize,BLZ,151|311|410|210,"Agriculture|Transport and storage|Government and civil society, general|General environmental protection",Implementation,2014,2019,30000000,
P111984,1,Rural Development Support Project Additional Financing,21/10/2008,,World Bank,DAC,Madagascar,MDG,311|310,"Agriculture, forestry, fishing|Agriculture",Completion,2008,2008,31319574.15,
P037339,1,Podhale Geothermal District Heating & Environment Project,11/05/2000,31/12/2004,World Bank,DAC,Poland,POL,230,Energy generation and supply,Completion,2000,2004,48807310.95,16791716.08
P040177,1,Financial Sector Technical Assistance Credit,24/06/2003,28/02/2013,World Bank,DAC,Honduras,HND,151|240,"Banking and financial services|Government and civil society, general",Completion,2003,2013,11921704.03,9278809.123
P071094,1,POOR RURAL COMMUNITIES DEVELOPMENT PROJECT,21/06/2005,30/06/2011,World Bank,DAC,China,CHN,151|310|111|210|140,"Water supply and sanitation|Education, level unspecified|Transport and storage|Government and civil society, general|Agriculture, forestry, fishing",Completion,2005,2011,113358610.6,113027315.9
P110376,1,Livelihood Restoration in Cyclone Affected Area-Additional Financing-III SIPP,01/07/2008,,World Bank,DAC,Bangladesh,BGD,321|310|160|240,"Other social infrastructure and services|Banking and financial services|Industry|Agriculture, forestry, fishing",Completion,2008,2008,52199290.25,
P148927,1,Transformation of Agriculture Sector Program Phase 3 PforR,31/10/2014,31/03/2017,World Bank,DAC,Rwanda,RWA,311|321|240,Banking and financial services|Agriculture|Industry,Implementation,2014,2017,100000000,
P116919,1,Alma Transmission Project,16/11/2010,30/04/2015,World Bank,DAC,Kazakhstan,KAZ,230,Energy generation and supply,Completion,2010,2015,79662771.56,681373.2416
P055455,1,Rajasthan Second District Primary Education Project,21/06/2001,31/03/2008,World Bank,DAC,India,IND,151|114|112,"Post-secondary education|Government and civil society, general|Basic education",Completion,2001,2008,92958665.93,94208834.04
P001755,1,Agricultural Trading and Process Promotion Pilot Project,01/06/1995,31/12/2002,World Bank,DAC,Mali,MLI,151|321|240,"Industry|Banking and financial services|Government and civil society, general",Completion,1995,2002,8341796.433,7058074.808
P097030,1,AF: Civil Service Reform Project,29/05/2007,31/07/2011,World Bank,DAC,Afghanistan,AFG,151,"Government and civil society, general",Completion,2007,2011,21769660.39,16110215.42
P127463,1,"Strengthening Service Delivery for Growth, Poverty Reduction and Enviromental Sustainability in the State of Cear&#225; PforR",21/11/2013,31/01/2018,World Bank,DAC,Brazil,BRA,151|111|140,"Water supply and sanitation|Education, level unspecified|Government and civil society, general",Implementation,2013,2018,361519844.3,
P129326,1,MA MSME Development Project,28/06/2012,31/12/2017,World Bank,DAC,Morocco,MAR,240,Banking and financial services,Implementation,2012,2017,49092185.83,
P073278,1,Supplemental Cr. to Health & Population,21/12/2000,,World Bank,DAC,Rwanda,RWA,120|151,"Health|Government and civil society, general",Completion,2000,2000,8943748.079,
P095514,1,AR Lifelong Learning Project,28/06/2007,31/12/2013,World Bank,DAC,Argentina,ARG,151|160|113|112,"Other social infrastructure and services|Secondary education|Government and civil society, general|Basic education",Completion,2007,2013,213428043,171909063.8
P009122,1,Cotton Sub-Sector Improvement Project,25/05/1995,01/06/2002,World Bank,DAC,Uzbekistan,UZB,151|311|310|321,"Agriculture, forestry, fishing|Industry|Agriculture|Government and civil society, general",Completion,1995,2002,91759760.77,89902740.53
P117944,1,HT 3rd Econ. Governance Reform Operation,08/12/2009,31/12/2010,World Bank,DAC,Haiti,HTI,151,"Government and civil society, general",Completion,2009,2010,12937059.14,12939294.66
P119694,1,PA Metro Water and Sanitation Improvement Project,18/05/2010,30/09/2015,World Bank,DAC,Panama,PAN,140,Water supply and sanitation,Implementation,2010,2015,40852703.36,
P002422,1,Integrated Health Sector Investment Project,14/03/1996,30/06/2003,World Bank,DAC,Sierra Leone,SLE,120|151,"Health|Government and civil society, general",Completion,1996,2003,27286344.27,24421566.05
P008502,1,Structural Adjustment Loan (SAL),08/06/1995,31/12/1996,World Bank,DAC,Kazakhstan,KAZ,151|160|240,"Other social infrastructure and services|Banking and financial services|Government and civil society, general",Completion,1995,1996,250253893,250253893
P034154,1,Ports Rehabilitation Project,18/11/1997,31/12/2011,World Bank,DAC,Eritrea,ERI,151|140|210,"Water supply and sanitation|Government and civil society, general|Transport and storage",Completion,1997,2011,40621655.58,33587537.23
P095515,1,AR Provincial Maternal-Child Health Investment APL 2,02/11/2006,31/12/2012,World Bank,DAC,Argentina,ARG,151|121|120,"Health, general|Health|Government and civil society, general",Completion,2006,2012,329430985.4,277501029.3
P112817,1,LS -2ND POVERTY REDUCTION SUPPORT CREDIT,30/03/2010,31/03/2011,World Bank,DAC,Lesotho,LSO,151|120|113|112,"Basic education|Health|Government and civil society, general|Secondary education",Completion,2010,2011,25532939.6,24921591.15
P004595,1,Community Based Resource Management Project,24/03/1998,30/06/2007,World Bank,DAC,Philippines,PHL,151|310|160|140|210,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general|Agriculture, forestry, fishing",Completion,1998,2007,66283585.54,47085161.97
P147348,1,Transmission Grid Strengthening Project,13/05/2014,31/03/2019,World Bank,DAC,Georgia,GEO,230,Energy generation and supply,Implementation,2014,2019,60000000,
P041566,1,Social Development Fund Project,20/12/2000,30/06/2006,World Bank,DAC,Senegal,SEN,120|160|240|140|112,Water supply and sanitation|Other social infrastructure and services|Banking and financial services|Health|Basic education,Completion,2000,2006,38330348.91,39632205.1
P082888,1,Public Sector Capacity Building Project,06/07/2006,29/03/2014,World Bank,DAC,Mauritania,MRT,151|160,"Other social infrastructure and services|Government and civil society, general",Completion,2006,2014,14275342.7,7561618.743
P071291,1,Financial Sector Technical Assistance Project,19/12/2002,31/12/2011,World Bank,DAC,Nepal,NPL,240|113|220,Communications|Banking and financial services|Secondary education,Completion,2002,2011,19672586.2,11703295.04
P008334,1,Coastal Forest Reconstruction & Protection Project,11/12/1996,30/06/2003,World Bank,DAC,Croatia,HRV,151|312,"Forestry|Government and civil society, general",Completion,1996,2003,57301322.98,52648058.7
P086411,1,SL- Road Sector Assistance Project,15/12/2005,30/06/2015,World Bank,DAC,Sri Lanka,LKA,151|210,"Government and civil society, general|Transport and storage",Completion,2005,2015,113358610.6,198062573.6
P094103,1,AFCC2/RI-Regional Communications Infrastructure Project,29/03/2007,31/12/2016,World Bank,DAC,Guatemala,GTM,151|220,"Communications|Government and civil society, general",Implementation,2007,2016,175544565.4,64953168.5
P040174,1,Caracas Slum-Upgrading Project,22/10/1998,30/06/2006,World Bank,DAC,"Venezuela, Republica Bolivariana de",VEN,151|430|160|240|140,"Water supply and sanitation|Other social infrastructure and services|Banking and financial services|Other|Government and civil society, general",Completion,1998,2006,80468272.85,42022006.85
P075531,1,Rural Electrification Phase I Project of the Rural Electrification (APL) Program,27/04/2006,31/03/2012,World Bank,DAC,Lao People's Democratic Republic,LAO,230,Energy generation and supply,Completion,2006,2012,10981032.85,10546466.14
P087925,1,Bolivia Land for Agricultural Development Project.,30/10/2007,15/09/2014,World Bank,DAC,Bolivia,BOL,151|310,"Agriculture, forestry, fishing|Government and civil society, general",Completion,2007,2014,16007103.23,7585282.036
P066466,0,PUB.SEC.REF(IDA REF),28/01/1999,,World Bank,DAC,Zambia,ZMB,151|331|322|160,"Other social infrastructure and services|Trade policy and regulations|Mineral resources and mining|Government and civil society, general",Completion,1999,1999,3654932.02,
P126094,1,Tunisia Governance and Opportunity DPL,21/06/2011,30/06/2012,World Bank,DAC,Tunisia,TUN,151|160|240|220,"Communications|Banking and financial services|Government and civil society, general|Other social infrastructure and services",Completion,2011,2012,500000000,491078726.4
P000527,1,Education Sector Reform Project,18/03/2003,30/06/2012,World Bank,DAC,Chad,TCD,151|160|113|112,"Other social infrastructure and services|Basic education|Government and civil society, general|Secondary education",Completion,2003,2012,50986358.44,49715575.84
P118197,1,Alat and Karakul Water Supply Project,13/12/2012,31/12/2017,World Bank,DAC,Uzbekistan,UZB,140,Water supply and sanitation,Implementation,2012,2017,80511184.76,
P073974,1,Health Systems Modernization Project,10/06/2004,30/06/2010,World Bank,DAC,Armenia,ARM,120|121|151,"Health, general|Health|Government and civil society, general",Completion,2004,2010,22253469.48,22990417.06
P125996,1,Distribution Efficiency Project,11/09/2012,31/12/2018,World Bank,DAC,Vietnam,VNM,230,Energy generation and supply,Implementation,2012,2018,440749644.4,
P082999,1,Education Quality Improvement Program (EQIP) Phase 2,08/03/2004,30/09/2010,World Bank,DAC,Tunisia,TUN,151|113|112,"Basic education|Government and civil society, general|Secondary education",Completion,2004,2010,152658800.6,150834144.9
P069055,1,Education Modernization Project,15/05/2003,31/07/2013,World Bank,DAC,Tajikistan,TJK,113|112,Secondary education|Basic education,Completion,2003,2013,24084250.56,25832722.82
P070628,1,Provincial Road Infrastructure Project,07/06/2005,30/06/2017,World Bank,DAC,Argentina,ARG,210,Transport and storage,Implementation,2005,2017,170037915.8,155855706.4
P094539,1,OECS-Catastrophe Insurance,08/03/2007,31/12/2010,World Bank,DAC,Guatemala,GTM,240,Banking and financial services,Completion,2007,2010,15153391.05,15131356.72
P091747,1,School Education Quality Assurance,23/06/2009,31/12/2015,World Bank,DAC,Vietnam,VNM,111|140|112,"Water supply and sanitation|Education, level unspecified|Basic education",Implementation,2009,2015,131440520.8,13598743.41
P099979,1,Capacity Building for Urban Development Project,21/07/2011,30/06/2016,World Bank,DAC,India,IND,151,"Government and civil society, general",Implementation,2011,2016,60000000,
P041302,1,Economic Recovery Credit,09/04/1996,31/12/1997,World Bank,DAC,"Yemen, Republic of",YEM,120|151|160|140,"Water supply and sanitation|Other social infrastructure and services|Health|Government and civil society, general",Completion,1996,1997,109145377.1,104620981.1
P066998,1,Local Development Program Support Project,16/09/2004,30/06/2010,World Bank,DAC,Chad,TCD,151|160|140|210|112,"Water supply and sanitation|Other social infrastructure and services|Transport and storage|Government and civil society, general|Basic education",Completion,2004,2010,26938410.42,29125179.69
P050752,1,Post-Literacy and Continuing Education for Human Development Project,27/02/2001,31/12/2007,World Bank,DAC,Bangladesh,BGD,151|112,"Government and civil society, general|Basic education",Completion,2001,2007,66595388.36,51789470.24
P083581,1,Hanoi Urban Transport Development Project,03/07/2007,31/12/2016,World Bank,DAC,Vietnam,VNM,151|160|210,"Other social infrastructure and services|Government and civil society, general|Transport and storage",Implementation,2007,2016,165630832.8,23282222.57
P106708,1,"CO DPL on Promoting an Inclusive, Equitable and Efficient Social Protection System",23/02/2010,31/12/2010,World Bank,DAC,Colombia,COL,120|160,Other social infrastructure and services|Health,Completion,2010,2010,510658792,510658792
P100619,1,Ghana Urban Transport Project,21/06/2007,15/12/2015,World Bank,DAC,Ghana,GHA,151|210,"Government and civil society, general|Transport and storage",Implementation,2007,2015,48021309.68,21807224.02
P082597,1,Colombia Programmatic Financial Sector Loan II,23/09/2004,31/03/2005,World Bank,DAC,Colombia,COL,151|240,"Banking and financial services|Government and civil society, general",Completion,2004,2005,117123523.6,117123523.6
P082914,1,EG-AIRPORTS DEVELOPMENT PROJECT,30/03/2004,30/06/2009,World Bank,DAC,"Egypt, Arab Republic of",EGY,151|210,"Government and civil society, general|Transport and storage",Completion,2004,2009,392363803.9,434054104.2
P115067,1,Support to Oportunidades Project,09/04/2009,31/12/2013,World Bank,DAC,Mexico,MEX,160,Other social infrastructure and services,Completion,2009,2013,1556338564,1916968226
P102117,1,Second Education Sector Development Project,21/04/2008,31/03/2016,World Bank,DAC,Azerbaijan,AZE,114|113|112,Post-secondary education|Secondary education|Basic education,Implementation,2008,2016,26099645.13,12199726.06
P040990,1,Energy and Water Project,11/05/1999,29/06/2007,World Bank,DAC,Cabo Verde,CPV,230|140,Water supply and sanitation|Energy generation and supply,Completion,1999,2007,22843325.13,22835883.67
P094848,1,Urban Water Supply - Supplemental,16/06/2005,,World Bank,DAC,Sierra Leone,SLE,140,Water supply and sanitation,Completion,2005,2005,3627475.538,
P086169,1,MZ-Financial Sector TA ProjectFinancial Sector Technical Assistance,01/12/2005,30/06/2012,World Bank,DAC,Mozambique,MOZ,151|114|240,"Post-secondary education|Banking and financial services|Government and civil society, general",Completion,2005,2012,11902654.11,9638419.632
P051372,1,Health Sector Reform 2 Project,08/05/2001,30/06/2006,World Bank,DAC,Kyrgyz Republic,KGZ,120|121|151,"Health, general|Health|Government and civil society, general",Completion,2001,2006,18741666.52,17416247.09
P054384,1,Recovery Program Technical Assistance,09/12/1997,31/10/2002,World Bank,DAC,Albania,ALB,151|240,"Banking and financial services|Government and civil society, general",Completion,1997,2002,6703243.496,6614733.949
P055432,1,Public Finance Structural Adjustment Credit 2 (PFSAC 2),24/06/1999,31/12/2002,World Bank,DAC,Bosnia and Herzegovina,BIH,151|120|160,"Other social infrastructure and services|Health|Government and civil society, general",Completion,1999,2002,93983966.23,93189208.7
