transaction_id,project_id,transaction_isodate,transaction_year,transaction_value_code,transaction_currency,transaction_value
MkztgV7FzSzbHTmZTpD8B,P100635,22/08/2008,2008,C,USD,7516697.796
jAS8oiZEh3bVDFUmpX2gCg,P008604,11/07/1995,1995,C,USD,222447904.9
ir2cRDNBPxPAdt4vtkEHGL,P005521,06/05/1998,1998,C,USD,26513434.22
HCt2uq2xDi4PabtDrzaAJM,P070718,26/05/2001,2001,C,USD,31236110.86
XrXSCoJ8WBExe4VkQcFhXP,P130339,05/07/2013,2013,C,USD,223109389.6
hBAhTjTrLQrZqFEE8eruEi,P001746,17/05/1996,1996,C,USD,18281850.66
6rGNApLSwta8xdhkjh4t6J,P052208,18/11/2000,2000,C,USD,83049089.31
7ZXGGUCVdoiaqgppqd3AUH,P127338,02/05/2014,2014,C,USD,30000000
nznYEEXFCbaRCTiqkootth,P111984,18/02/2008,2008,C,USD,31319574.15
qBfvphHJpXSwmmucFApUf3,P037339,07/02/2000,2000,C,USD,48807310.95
opTw4PNvKQLn9LNrKLtGR3,P040177,30/05/2003,2003,C,USD,11921704.03
S9RF7qimp3ZQWgLcM9foZP,P071094,06/05/2005,2005,C,USD,113358610.6
CHwcaV7AGZ5a2GGNBusv7a,P110376,14/02/2008,2008,C,USD,52199290.25
zHosKgRWzNZNUkBpuhxYHD,P148927,01/07/2014,2014,C,USD,100000000
kMD4xvMhJBqTsHARVg5XCT,P116919,10/12/2010,2010,C,USD,79662771.56
ERcMUY7PH6ukZQQWqKxCdb,P055455,16/07/2001,2001,C,USD,92958665.93
gZ8ZVdvR2zTKhPrA6UTZz3,P001755,20/01/1995,1995,C,USD,8341796.433
PRGbtFubszyFdvsRAsYNEK,P097030,09/10/2007,2007,C,USD,21769660.39
hMCmxRBoCTCkTBqCjWuoMZ,P127463,25/11/2013,2013,C,USD,361519844.3
NWFtz7NcSk9if9XYBdL2Rk,P129326,21/05/2012,2012,C,USD,49092185.83
y7QQHbvmGT9gLZxzLME3hX,P073278,21/07/2000,2000,C,USD,8943748.079
hK5aGUD54mQvyhhAodKdin,P095514,28/12/2007,2007,C,USD,213428043
y2BXCeSQQuNEgMnu33Uud,P009122,03/06/1995,1995,C,USD,91759760.77
9NHE7xykmhhCxG4MyyyHwB,P117944,16/10/2009,2009,C,USD,12937059.14
2EeUiGkWCTTJFJCzsdR3MU,P119694,23/02/2010,2010,C,USD,40852703.36
QPMermZeYYtRtYLWv5KXWd,P002422,27/09/1996,1996,C,USD,27286344.27
E3juXNATqM5tAbPUuWHBGF,P008502,29/07/1995,1995,C,USD,250253893
Tqks7WG8V5AtA35W6WgB3Q,P034154,02/09/1997,1997,C,USD,40621655.58
We5Y6jwJDvgQEzMBRpg9fG,P095515,09/07/2006,2006,C,USD,329430985.4
gRHh7v4gzf9WHtzTLMnYbA,P112817,24/09/2010,2010,C,USD,25532939.6
3qDaBGVMtNbt9wGzoQenBA,P004595,14/07/1998,1998,C,USD,66283585.54
CbGaNacHfWgQNycMnCi9z,P147348,12/10/2014,2014,C,USD,60000000
HmZYEfGKSKPMAgTzDFoht6,P041566,01/02/2000,2000,C,USD,38330348.91
bZYgwPgWTwX5Ded7F2Kg5T,P082888,18/05/2006,2006,C,USD,14275342.7
qHh67hseb2LRc7xoeRqzbP,P071291,07/06/2002,2002,C,USD,19672586.2
w93spk3xKb7AC96gAL4d9J,P008334,26/10/1996,1996,C,USD,57301322.98
ADFPbG5RMunKkEXxxBBvZU,P086411,19/07/2005,2005,C,USD,113358610.6
pEupoDuwEdTNWJsAQWimHa,P094103,03/04/2007,2007,C,USD,175544565.4
GVoPjioDACr6bFQu4t2B2Y,P040174,04/07/1998,1998,C,USD,80468272.85
pZfsDocwVNyAVrGLUjWED7,P075531,20/10/2006,2006,C,USD,10981032.85
3sivMmJty4zjvi9bGX7ucL,P087925,18/03/2007,2007,C,USD,16007103.23
bCfhVZSyn8zLusfTZqj5Af,P066466,19/05/1999,1999,C,USD,3654932.02
TzGED5xsMbFnTuarYHMLjE,P126094,03/11/2011,2011,C,USD,500000000
xEXdrSjWhsRJiZQoTsg7mk,P000527,28/06/2003,2003,C,USD,50986358.44
nXaHtPnsJfstuMkdsya4L8,P118197,15/05/2012,2012,C,USD,80511184.76
9iEur6nAFuS4VPz8Yqi8cS,P073974,30/12/2004,2004,C,USD,22253469.48
dihxHjTth2KCnG8CVb9kT9,P125996,28/06/2012,2012,C,USD,440749644.4
jdC8DACgGprbapT8Xbhj6n,P082999,11/06/2004,2004,C,USD,152658800.6
dLkou8HuHc9Bu42AftjXjm,P069055,28/05/2003,2003,C,USD,24084250.56
zGk7BCKBcRss8zbYibm5vj,P070628,19/01/2005,2005,C,USD,170037915.8
2gkioyJzQxUBuGuU4CdgCS,P094539,23/06/2007,2007,C,USD,15153391.05
a4QUjuRbB6dZiHwpxaFiRD,P091747,25/03/2009,2009,C,USD,131440520.8
jbzH6WRcHbx9eMXzcGdSJM,P099979,07/08/2011,2011,C,USD,60000000
9rpC6toSE5p3FtT3ZF5Phb,P041302,22/01/1996,1996,C,USD,109145377.1
FHo9T79TZpnKRmhmS3xBwc,P066998,01/02/2004,2004,C,USD,26938410.42
H7mitV3Yn8J3aj6e226fnV,P050752,23/09/2001,2001,C,USD,66595388.36
GBVwHN4v9biJnSrgwSWPA,P083581,09/07/2007,2007,C,USD,165630832.8
3WmrAYh97TDe78tXKwcbe,P106708,19/11/2010,2010,C,USD,510658792
toGSwayUjr2eaRvYZ9aF7K,P100619,06/01/2007,2007,C,USD,48021309.68
qiApjyiSsR5vUffd7ZJyP6,P082597,19/11/2004,2004,C,USD,117123523.6
iNXoPWUEVFvENvpw9P6nAe,P082914,17/08/2004,2004,C,USD,392363803.9
bzZ8xgutPEH79weMr7aW3K,P115067,21/03/2009,2009,C,USD,1556338564
dqRYMvZFfVNpgVtLLugYzV,P102117,06/03/2008,2008,C,USD,26099645.13
82a7K8N9zr2zTJ8QtYoZ9Z,P040990,01/06/1999,1999,C,USD,22843325.13
dpfske3uEgZgdoWZC5QKLh,P094848,30/03/2005,2005,C,USD,3627475.538
8CeexSttDED6A5TmZZYGpB,P086169,01/07/2005,2005,C,USD,11902654.11
EG9qC7DpdzRExt3bvBfTcD,P051372,24/10/2001,2001,C,USD,18741666.52
UGHnfik4CFvGaDrSc9aAHF,P054384,11/06/1997,1997,C,USD,6703243.496
3xrRDQLLqMKcAwV7KjwbZN,P055432,23/12/1999,1999,C,USD,93983966.23
KXDKQEg9efN57WjPy3giBm,P046768,21/09/1997,1997,C,USD,6971373.236
ejts58NBxJ7TWoMNtzb6H3,P057910,23/05/1998,1998,C,USD,6628358.554
J2s4efhGpubA8avun8KxpR,P127449,07/04/2013,2013,C,USD,51645692.04
JLvGRVGjCenFTbXmdLTpaG,P043195,28/05/2003,2003,C,USD,188459260.6
EzdJQkFB4dSb9QzjRFjJuT,P071033,26/12/2002,2002,C,USD,121601173.4
hEmTqzVyoKfzHSKkpAPHhS,P084871,18/02/2005,2005,C,USD,226717221.1
zXs7L6vmJVhJMUzD7eWeKF,P050613,30/12/1999,1999,C,USD,68529975.38
mg2ASS3bWESfUUUEoL9o74,P041548,09/05/1997,1997,C,USD,13406486.99
snJ7spdSFUPGKoZkV8JxeY,P050891,10/07/1997,1997,C,USD,53625947.97
f2EzeA6zftZShpfqfCCMkS,P074081,29/11/2003,2003,C,USD,180631879.2
r6U5f3txDk9NhK7EUShE7Y,P006512,02/06/1995,1995,C,USD,69514970.28
cscfPRsiF5ddXe6jj7mRdh,P071631,31/07/2008,2008,C,USD,20879716.1
RGVKheBVH4mAd5ARMEvbC8,P074235,28/07/2004,2004,C,USD,46849409.43
Wqr5zu5NoSSrb6JhLZjsST,P101311,11/11/2007,2007,C,USD,106714021.5
XXmPm929dMyAXQVbFDUA2F,P117201,18/02/2010,2010,C,USD,204263516.8
F4CiGUEQvtcJ5YNud7M9nS,P050647,17/08/2002,2002,C,USD,183446866.3
JmGKK4X8a5sBTk2pH9GnoR,P115065,09/04/2009,2009,C,USD,15524470.96
PfpWQsn5G8aS7ufwHrh88P,P114204,30/06/2010,2010,C,USD,505552204.1
GrHUGxuZq8q8fDkV2N3ZvN,P127319,28/08/2011,2011,C,USD,5000000
HcKuwMv8UGhKTZciQwkhMS,P008287,01/01/1996,1996,C,USD,27559207.72
4GdaGyf7CsSNB7oPrwDZAU,P095229,02/05/2007,2007,C,USD,108848301.9
qn64MxQaqQHzRmYb5kJAyG,P059055,25/05/1998,1998,C,USD,6628358.554
48Y5ayHWD8rvi3zA7w8bz5,P108525,21/03/2008,2008,C,USD,3131957.415
UFPpbdgnMqyMi2QQTEXBSh,P081616,15/08/2005,2005,C,USD,13886429.79
QPoEbpMCNPzENEeGkEuXoa,P127876,12/09/2013,2013,C,USD,103291384.1
GHbDWjQmiKnH8dmpwZiRzV,P052256,20/11/2005,2005,C,USD,39675513.7
zmMpoLhXGLrTEYrkEaii3g,P121220,31/12/2010,2010,C,USD,76292423.53
9N8muNK2PPQWYsqXJR48GB,P078716,04/12/2005,2005,C,USD,569649689.8
2yFx3d9RWXQsUvCVkK78UU,P129770,01/12/2014,2014,C,USD,60000000
f8z2LmpPzeoeAAaCEuST56,P062991,05/02/1998,1998,C,USD,3347652488
PDFdroJr5XeqeaySADVaBC,P113202,15/01/2010,2010,C,USD,23286040.92
qLWU53c4sATPWPuSsmpdXB,P084596,07/03/2004,2004,C,USD,14054822.83
M8azCoUx799WUmVnwHP3LS,P129992,18/11/2014,2014,C,USD,17000000
nLdq9XqpAtA7XebayZGCVn,P008506,08/06/1995,1995,C,USD,57141305.57
5pbyTQUaK5AZBtAvQNjXLQ,P149884,13/08/2014,2014,C,USD,30000000
kevQ3HThuXVUWJ4koxkKY9,P002992,02/08/1999,1999,C,USD,105601428.7
JbQSpcASsetaeKkETD599o,P094220,04/12/2006,2006,C,USD,54905164.23
VAFgx473du6cYn5Uh4BTD7,P113350,16/02/2013,2013,C,USD,17043078.37
GHDsJReXgELcTKR7awTypN,P074819,19/09/2001,2001,C,USD,7496666.607
LatjZpGpvQcTWrZ8DhGoDh,P132101,01/05/2012,2012,C,USD,100148059.1
5cFokoZc2LqhJtkT7j4xQo,P147514,30/11/2014,2014,C,USD,65000000
6Ff6y8qcdfZ5U3eUjxeULD,P112975,09/10/2010,2010,C,USD,30639527.52
d8HDLfNy7igwakzAG8t3bA,P003639,17/02/1995,1995,C,USD,344099102.9
8ZDX9zVrxXXEdUxo78Fc9i,P040199,27/03/1998,1998,C,USD,152452246.8
iYSEJq4XfEZM2whoVTZKt9,P008271,01/03/1996,1996,C,USD,10914537.71
tcrz8NYZzgfKW6thtwKBUM,P039292,12/12/1997,1997,C,USD,9384540.894
PQzXREVeLMnBTwmDkHotue,P089793,04/04/2007,2007,C,USD,5335701.076
QXGreXDNPUgw8VN8LFpmqk,P124844,16/07/2011,2011,C,USD,2000000
2rD3sE9gQD9oB2eixocaFm,P126974,26/03/2014,2014,C,USD,150000000
zCXqQADP7PvjPB9htVxiWj,P122642,22/12/2013,2013,C,USD,12911423.01
JaJorBjL7UQ4aSmod78ZVk,P040713,07/05/1997,1997,C,USD,15283395.17
yKVCjnars2v4maqkT4MsL8,P121833,10/06/2010,2010,C,USD,30639527.52
8ryRFvc82FthYNKnUeWvGN,P126421,15/11/2012,2012,C,USD,197841508.9
Tnxkut8swytZUZghm3M7M9,P049311,09/08/1996,1996,C,USD,27422776
i8jsjyxSvJscDzCeWVMQqP,P131212,01/03/2013,2013,C,USD,113620522.5
3xKdLp7vBFgLDJfYhhpCVE,P096409,27/10/2007,2007,C,USD,17074243.44
KG2oH3aFgkpJcKp5KAi4sc,P043297,18/02/1996,1996,C,USD,68215860.69
GKg4KTHYLhAzxSzNa8pUEg,P044267,31/12/1995,1995,C,USD,4031868.276
HuqvtzyKrBnFQLgy9NRLRe,P110147,18/06/2010,2010,C,USD,25532939.6
Ne7sP7Ab6pp6j8t2kfimzC,P128939,30/03/2011,2011,C,USD,27210000
PP83ERvaPQUsikYJq9Tecc,P122201,02/03/2012,2012,C,USD,68729060.16
PAsHo8dNtDqPPwaMcz8Y8b,P004004,23/11/1996,1996,C,USD,88680618.89
SjuuQrNRLBBrHXMf4AMPrS,P103276,23/07/2006,2006,C,USD,18118704.2
TYEWmbAGdDyMhrkPWECugk,P073776,09/08/2003,2003,C,USD,289011006.7
ydMRSoeiK2x8n5o7ck6bFj,P035827,27/06/1998,1998,C,USD,397701513.3
5pR7tr3jgAndPMxcTMyLFA,P108768,08/02/2008,2008,C,USD,9709067.987
eom4RWihCmHeSvPYzcnEyk,P146726,27/07/2014,2014,C,USD,30000000
ewmqNVTaza43gjj8zSTWY9,P146768,08/09/2014,2014,C,USD,35600000
zRF7NFpgEVdNAJrKCVFyqG,P112516,07/03/2009,2009,C,USD,141169189.3
xqZ3BbwV7bEnwPzcefFXFh,P102966,21/05/2007,2007,C,USD,26678505.38
vtfYzUuTtZmNrb76SJuKFW,P001799,27/06/1999,1999,C,USD,39159985.93
Zb46aEL98CiS7YG7FQxxCA,P082871,10/11/2003,2003,C,USD,180631879.2
bq8aqkhpSBZ3NCp2zDgPRi,P050772,06/08/2000,2000,C,USD,258218783.8
eph7ccqSZWRCkSWdVCpNYY,P107242,12/09/2008,2008,C,USD,10439858.05
tQECV9KTreFs3PC86GWVuY,P003637,02/03/1997,1997,C,USD,93845408.94
eX9WDQtnN58u5RMbMMGQDe,P035641,28/03/1999,1999,C,USD,221906586.9
G3TutXn8MTeQRspjFyT9XC,P107395,11/02/2009,2009,C,USD,7244753.117
zENrXV67nVaGHyKMvXjMTN,P107614,19/07/2008,2008,C,USD,20879716.1
r2jmt4UgjVAkaafCLtAv7h,P075730,09/10/2004,2004,C,USD,201452460.5
n7KR2LhGkryev4nGUyWVjP,P131027,17/02/2014,2014,C,USD,73100000
tUDoBhojXNp3TsboEQdGLJ,P145057,05/01/2013,2013,C,USD,2220764.758
PJMVw9zRZvfnJeGU3MfSb5,P078707,16/01/2004,2004,C,USD,18154146.15
qAb4GjaQywMoqDvantZPyK,P052037,25/09/2001,2001,C,USD,207832587.2
qhniAi2PdXGmcne5tehZUD,P069858,10/03/2001,2001,C,USD,62734605.06
yXgWD3mvA6SYcvRhtXW3E8,P131539,03/05/2013,2013,C,USD,4338238.132
yxD49HDci9TxcZwMoptksg,P117102,18/03/2011,2011,C,USD,30000000
YXkFmEkX6JGGcMmhW6kjEH,P114827,26/09/2013,2013,C,USD,180759922.2
vR4ceR8NZfV7KeFUDRcRuk,P001866,24/11/1995,1995,C,USD,41708982.17
u4Sgaay5KHoJH3tSAcYyt,P144928,23/08/2013,2013,C,USD,12704840.24
v8aFMT9f7yD8Pfz34EidTK,P129920,21/09/2014,2014,C,USD,600000000
9Zaf95ZHaNTZTH24JPXANK,P130528,01/09/2012,2012,C,USD,23564249.2
aYpFgfuWKdoictpwZHT4vM,P008523,10/07/1996,1996,C,USD,25239868.45
RMhUo3xYXB2JRiopoY99bP,P126278,04/12/2013,2013,C,USD,17043078.37
AuZLHHjCLrkNuvuzfM2xgi,P122785,25/07/2012,2012,C,USD,15689862.59
86djFBJ4SUxeRiqUdPakCg,P130891,23/09/2014,2014,C,USD,19400000
SReKHjXd7HpwYyXj3ksK3E,P131325,29/01/2014,2014,C,USD,138000000
fWHSu4JRHFETtV97NsFGVU,P130840,26/06/2014,2014,C,USD,200000000
thRTs6YJBpy9dbnwU3Lfy6,P130012,02/10/2013,2013,C,USD,103291384.1
tQ2aCsmQ7hoS5mkdW6JenE,P121673,10/07/2011,2011,C,USD,710400000
igeDvG87H9a692f2S5LANc,P122406,08/06/2014,2014,C,USD,46000000
cGnQWg7MPoeYk7vvCtjrtn,P114042,21/04/2011,2011,C,USD,15800000
XxYwtSF4GE5EYorVMgZwBj,P111153,04/06/2010,2010,C,USD,166474766.2
Yqrk7zsgLt63TX2snuACpi,P083108,07/05/2008,2008,C,USD,469793612.3
AjcFBpwsyp3Qajfyx4YqpM,P113844,31/01/2012,2012,C,USD,270007022
6xq2MNJw6oHfBjA4AYrkB9,P081368,09/10/2004,2004,C,USD,52705585.6
uQdZQtiz2Pu6huKo2tg9ZK,P120536,12/08/2014,2014,C,USD,85000000
VRfSJsUHX8vE7Rt2eygJRg,P143594,18/06/2014,2014,C,USD,15000000
RRcf43UBhQi4XNA4k3BomB,P114348,10/04/2011,2011,C,USD,150000000
mDvPvTJH55xe4rUXbMWfu8,P143915,20/05/2013,2013,C,USD,21691190.66
5c62e3dnFcK3TGGuWc264E,P144270,11/06/2014,2014,C,USD,35000000
ZfiiKQrYfFhGNFkZzuReuB,P099059,24/09/2006,2006,C,USD,43924131.39
wiFYLvRKBT9AtnpAGKyhK3,P127038,07/08/2013,2013,C,USD,165266214.5
RdMfSLgk3tUddXSrSSZgw8,P082396,01/03/2004,2004,C,USD,46849409.43
jyRUqKN4uFrYCKoFFTDCyB,P111598,17/02/2010,2010,C,USD,153197637.6
qPZnT84W76T5R8Dn3zZANB,P108791,02/09/2008,2008,C,USD,5219929.025
e79onJsKhHGRxj5MD4CPkk,P102398,15/07/2010,2010,C,USD,28392628.84
nLUqGoFmEiD9279Gm7Y4jU,P112456,01/02/2011,2011,C,USD,27500000
uea3im9pWP39kP88P9nBbL,P130972,19/12/2012,2012,C,USD,147276557.5
uynLBqGGJf5ZYk22ECsQhn,P145778,01/03/2014,2014,C,USD,107000000
oPR4iA6Pd7go4dEwoBi5gk,P130847,22/06/2014,2014,C,USD,50000000
jAkD7gKdY5vr8UEHhVmffk,P133446,25/09/2014,2014,C,USD,25000000
VnPDYSfkMAVzeijYSBdeQn,P111017,01/08/2011,2011,C,USD,1200000000
27Dog6TufoEu82RQ9WzCSB,P119039,11/10/2013,2013,C,USD,103291384.1
J3JVYf6fwom3kkXVNJtR2j,P082378,11/04/2003,2003,C,USD,60210626.4
sg2BG2Bz4mJNZbiRUTkB3m,P147006,09/04/2014,2014,C,USD,30000000
cnq4zwEppvNoZgP59sm8Gi,P129793,12/04/2012,2012,C,USD,14727655.75
s9VLhcmYZ8cKDNheuFQFPL,P127203,30/10/2012,2012,C,USD,88365934.49
HkQiawehWzs8PcW9JitkHZ,P133590,02/11/2014,2014,C,USD,175000000
zDrwGvdcj8n3c3HCbLuRVc,P147740,13/01/2014,2014,C,USD,70000000
QkZA2uZ82jzAUEmJQwqaWC,P101645,06/03/2007,2007,C,USD,112049722.6
b2ufxff7rCrBRKZ3xR4Cpf,P094084,12/09/2007,2007,C,USD,48021309.68
7HYoWx77BrEs9ToXcfGgLM,P126325,07/01/2014,2014,C,USD,165000000
c65gxfYTN3JjKcNM9mr7i4,P083352,01/07/2006,2006,C,USD,5490516.423
bzVKN5xSzcubmm2cwHzUZb,P127433,25/07/2012,2012,C,USD,973399860.6
5JRHZ7dpDn92YwdyfB7KPM,P052247,06/02/1999,1999,C,USD,6526664.322
BYDNxEhcUJNojmpEyXHHXC,P058512,06/02/2000,2000,C,USD,13543389.95
nPPcYL6n2h6M3uSvr7Ai7a,P068271,28/09/2002,2002,C,USD,93137400.28
8zhWU8Uxb2Au7q85nFfp2U,P076658,09/01/2005,2005,C,USD,7368309.687
vyYHw9WfvdHAzBNstKRetk,P092618,10/01/2007,2007,C,USD,184615257.2
HbfqG5VQpWDL39V54KX4yb,P107254,04/03/2008,2008,C,USD,12527829.66
rie2ELp53zqpAi7Q49ZAKQ,P132631,14/10/2013,2013,C,USD,40283639.79
o75BptqmqFxTsStNmqWvfk,P087347,20/02/2006,2006,C,USD,32943098.54
h4FeX22GTKWaDekvYWz2GH,P121631,24/04/2010,2010,C,USD,3063952.752
agr2NASgxa8uD6c6NGDs96,P128251,11/03/2012,2012,C,USD,490921858.3
xGKY6QA9LvVPCeCYJLYVZU,P126897,30/08/2012,2012,C,USD,13745812.03
c9gmxXFkaqvUg2ycLp9DX,P082018,11/07/2005,2005,C,USD,141698263.2
42ifVjtFmMt7AgneTsafE8,P111205,12/01/2011,2011,C,USD,28800000
NBVLxKh2kcamfytqmR9UmV,P146474,10/02/2014,2014,C,USD,20000000
zgC2vpLk3gZXVeBbbMDMmB,P082588,24/11/2005,2005,C,USD,28339652.64
PzumdrnCdGCRHcSPHqY9K4,P009496,15/02/1995,1995,C,USD,83139904.45
nWu6aFUJn2u23v9gqhRTW7,P098256,08/01/2006,2006,C,USD,21962065.69
qvXNqHfmRwgbmWGhYdiQyB,P044305,14/01/2000,2000,C,USD,50468292.73
UGGUBi7DRtXJjpDMeHFfmb,P057704,19/02/1998,1998,C,USD,2651343.422
bqbfTYccsDjrCF827rptPG,P081558,15/01/2003,2003,C,USD,66231689.05
aMVqoHjHdQ7J3SSw6NR6V,P144675,18/08/2014,2014,C,USD,200000000
sVCTDzt6au63fg3haZDSz5,P072160,16/09/2001,2001,C,USD,29736777.54
cAaJdFqCTsxN99qPeLLuXX,P106424,07/05/2010,2010,C,USD,255972826.1
YoxF7zYMvxWTFD2rh5G5ZW,P128442,24/09/2013,2013,C,USD,36151984.43
PT4TtwoZywEVqKE56Y5n6J,P151777,04/08/2014,2014,C,USD,9750000
ZWrugMrgNtNjFdabU9L8ND,P094488,19/12/2006,2006,C,USD,219620656.9
VMFCoYaqDG6KJKeMDKm2SN,P004567,05/09/1995,1995,C,USD,25025389.3
aUaskthFxqyPkr4eB3FPV4,P098328,20/07/2007,2007,C,USD,25611365.16
nEzgX6J5FQfMNkAkDPDm39,P149963,17/05/2014,2014,C,USD,5000000
Tgmd8GYLMNuRWYikCSrhf4,P102174,06/08/2007,2007,C,USD,10671402.15
